Code,Entity,Instances,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv
SUR,Suriname,15,12.17056,4.7093143,89.1,6.79,0.48,8.42976,2.249,,6.269,73.631,93,,85.75,17.87,51.81,7.1,0.876
SWE,Sweden,16,5.95539,3.5916543,34.2,9.39,3.82,12.740326,1.43,47126.13,7.345,83.2624,,22.7,99,10.83,30.59,3.04,0.937
CHE,Switzerland,16,8.96682,3.5946856,36.9,9.32,2.85,13.949121,1.433,63323.254,6.935,83.9536,,25.5,100,10.08,30.24,2.53,0.959
SYR,Syria,15,25.14079,1.2879974,,1.32,0.71,5.93552,2.712,2494.7612,3.462,72.1201,94,,77,21.3,55.11,9.14,0.252
TJK,Tajikistan,15,53.64558,1.0140533,22,1.83,0.19,11.270948,3.072,5507.5454,5.411,71.7901,,,98.25,14.55,41.690002,9,0.287
TZA,Tanzania,17,15.36389,0.29198244,49.6,5.2,0.73,6.06535,4.606,3057.3286,3.8,66.9953,78,9.3,93.5,17.9,50.68,30.21,0.754
THA,Thailand,17,24.63927,3.7361188,64.9,6.27,0.29,9.04,1.212,16421.072,6.222,76.4115,91.09987,19.2,94.4,19.74,52.100002,11.8,0.479
TGO,Togo,17,35.65757,0.28938687,71.9,2.99,0.03,5.8611145,4.192,1586.5889,4.315,62.7387,72.59589,6.4,88.571,13.879999,45.92,42.41,0.651
TON,Tonga,12,7.52079,1.464028,31.6,,0.12,10.914949,3.129,,,72.8947,91.05162,31.3,,16.03,48.41,7.1,
TTO,Trinidad and Tobago,15,10.26482,22.931944,65.3,7.09,0.48,10.79275,1.532,25773.006,5.905,73.4896,,,92.5,17.87,51.81,1.61,0.796
TUN,Tunisia,17,26.52402,2.6605377,80.6,4.71,0.97,7.59492,1.832,10913.846,4.552,76.5077,86.24682,20.5,96.125,22.470001,52.530003,3.13,0.828
TUR,Turkey,17,23.25106,5.865009,24.3,4.26,0.34,8.986243,1.625,27361.988,5.262,77.1557,97,30.5,95.833,23.95,55.57,2.48,0.587
TKM,Turkmenistan,16,26.40925,10.808675,3.9,1.66,1.38,11.207802,2.69,17234.555,5.474,70.0727,,5.6,98.143,19.71,48.629997,5.66,0.116
TUV,Tuvalu,10,6.80654,1.1831627,3.6,,0.18,10.767461,3.208,,,67.1049,,33.7,,16.03,48.41,,
UGA,Uganda,17,31.31261,0.12663798,52.4,4.49,0.45,6.323663,4.283,2122.0278,4.461,68.2523,69.10132,7.5,94.286,21.43,52.62,28.09,0.509
UKR,Ukraine,16,13.50727,3.7637882,108.6,4.9,1.73,11.122739,0.977,7749.0996,4.68,73.4225,,24.9,73.167,9.38,32.170002,2.34,0.775
ARE,United Arab Emirates,17,41.7495,20.131075,34,3.07,0.51,12.99,1.2,77203.67,6.759,82.9091,98,9,96.5,15.940001,48.629997,0.85,0.317
GBR,United Kingdom,16,9.51575,4.5257993,103.4,8.34,8.37,13.49,1.56,38406.53,6.728,81.3015,,14.2,98.143,13.59,36.559998,6.11,0.851
USA,United States,16,7.17987,14.197287,125,7.85,31.75,13.91,1.624,58487.465,6.724,79.3043,,24.3,97.308,20.730001,46.76,2.26,0.891
URY,Uruguay,17,8.47571,2.35437,66.6,8.67,0.62,10.54,1.409,20181.94,6.661,78.1385,99,20.5,99.917,14.78,45.969997,4.44,0.887
UZB,Uzbekistan,17,40.97948,3.829127,31.1,2.1,0.35,11.91,3.5,12559.401,6.193,72.3884,100,16.7,98.25,17.53,45.59,2.9,0.435
VUT,Vanuatu,13,8.42148,0.6012429,48.6,,0.1,7.18321,3.596,,,71.4769,87.96032,,99.143,16.03,48.41,25.02,0.772
VEN,Venezuela,16,16.21392,4.085203,164.3,2.25,0.11,9.678386,2.079,5267.1753,5.683,72.5142,97,,87.5,17.87,51.81,5.17,0.538
VNM,Vietnam,17,20.8923,3.6730351,32,2.62,1.18,8.98,1.913,8050.359,6.352,74.5883,96,22.5,98.8,15.65,43.59,6.92,0.658
YEM,Yemen,16,41.60944,0.24944058,71.4,1.95,1.11,5.48415,4.59,1959.3195,3.561,69.2952,,21.4,52.778,24.81,59.06,15.64,0.232
ZMB,Zambia,17,16.8967,0.5650162,114.9,5.73,0.76,7.3974085,4.101,3342.4214,3.912,66.3487,71.1323,14.6,96,17.880001,55.85,35.77,0.768
ZWE,Zimbabwe,17,13.07553,0.82366556,45,2.98,0.54,8.930847,3.724,1703.5294,3.396,62.7748,93.22755,11.3,99.286,17.29,51.95,36.2,0.64
GRL,Greenland,5,,11.079819,,,,,1.95,,,70.055,,,,16.03,48.41,,
OWID_KOS,Kosovo,9,,4.777991,17.6,,,,1.545,,6.659,78.0326,,,88,8.85,32.7,,0.596
LIE,Liechtenstein,7,,3.2992606,0.5,,,12.40996,1.537,,,83.6298,,,,11.5,35.670002,,
NCL,New Caledonia,5,,18.0644,,,,,1.98,,,78.7658,,,,16.03,48.41,,
TWN,Taiwan,11,,11.301164,23.4,8.78,,,0.87,53142.984,6.669,80.5588,,,98.75,21.279999,49.53,,0.926
0,Aruba,1,,,67.1,,,,,,,,,,,,,,
PRI,Puerto Rico,8,,,18,,,,0.941,35280.668,7.039,81.6902,92,,,21.199999,48.57,,
GUF,French Guiana,2,,,,,,,3.388,,,76.9781,,,,,,,
ESH,Western Sahara,2,,,,,,,2.164,,,71.385,,,,,,,
