Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
KHM,123,152,Cambodia,20,100.0,48.684488834987086,17.80251,1.2405994,27.8,2.94,0.15,5.1971,2.579,3944.2468,4.341,70.6675,71.92725,17.2,90,19.04,46.01,17.13,0.34,0.895,23,4.6
CMR,139,169,Cameroon,20,100.0,43.127974357853006,56.36692,0.33071235,37.9,2.56,0.03,6.5741806,4.322,2812.2148,4.887,63.6996,72.54713,6.5,90.375,13.13,47.13,47.26,0.732,0.934,15,5.7
CAN,20,23,Canada,20,100.0,79.47565793406336,6.38944,13.419917,113.9,8.69,19.22,13.87,1.349,45529.645,6.803,82.6302,100,12,97,11.91,36.469997,2.29,0.8,0.029,97,2.5
CPV,66,89,Cape Verde,19,95.0,65.64348997798655,31.08072,1.1312839,106,7.58,0.07,6.0900393,1.522,7202.767,,76.0587,87,11,100,13.77,48.579998,12.11,0.822,0.258,92,12.6
CAF,171,202,Central African Republic,19,95.0,26.910112367438625,27.19802,0.07403937,57.1,1.18,0.19,3.9894314,6.012,596.393,3.4759,57.4077,42.44279,,74.333,15.440001,49.9,97.01,0.359,0.848,5,23.5
TCD,168,199,Chad,20,100.0,29.807484374735623,41.15263,0.13948385,31.5,1.89,0.02,2.3349848,6.12,1393.5635,4.384,55.0692,30.62792,7.4,81.667,12.630001,45.719997,99.2,0.44,0.953,15,35.1
CHL,32,39,Chile,20,100.0,76.74760929102324,20.48648,3.983124,42.7,7.83,0.58,11.291054,1.167,22740.72,6.361,81.1667,96,28.7,93.762,22.04,57.760002,2.26,0.893,0.084,95,2.5
CHN,104,132,China,20,100.0,55.73171968118329,38.153,8.65839,96.3,2.11,0.79,8.036181,0.999,19238.18,5.921,77.9529,97,23.4,97.2,15.77,43.37,2.2,0.359,0.551,9,2.5
COL,58,79,Colombia,20,100.0,67.72687325427736,14.03552,1.752047,58.9,6.35,0.33,9.031582,1.645,14468.964,6.004,77.7246,96,8.2,84,17.94,60.93,3.39,0.678,0.393,70,4.2
COM,153,183,Comoros,20,100.0,38.20156850663602,14.3724,0.6365447,30.2,2.84,0.87,6.00684,3.878,1900.3983,3.754,66.7768,59,17.2,77.8,14.07,49.89,43.85,0.488,0.843,42,16.9
COG,152,182,Congo,20,100.0,38.42542362633248,29.48397,1.3958335,93.1,2.79,0.29,8.322645,4.157,4187.507,5.03,65.772,80,15.4,81.2,20.4,55.57,26.38,0.429,0.829,17,26.8
CRI,26,29,Costa Rica,20,100.0,78.87104883924613,14.69544,1.7077205,59.7,8.29,0.66,8.844752,1.33,15496.82,7.274,80.7995,98,8.9,94.6,18.17,50.910004,2.87,0.935,0.203,91,2.5
CIV,141,171,Cote d'Ivoire,20,100.0,42.41795773772611,40.41493,0.46434766,55.6,4.22,0.03,4.87,4.283,4011.7122,5.102,61.9438,50.00064,8.8,93.167,20.890001,54.030003,46.95,0.647,0.622,49,9.6
HRV,36,46,Croatia,20,100.0,75.34246815728653,15.28803,4.764723,57,6.5,1.71,12.095121,1.468,26986.752,5.87,78.5803,100,37,100,8.96,33.5,2.69,0.904,0.257,82,2.5
CUB,91,118,Cuba,18,90.0,58.821650964642124,13.31979,2.225931,,2.58,0.07,10.631489,1.439,7648.704,,78.0855,97.65491,17.4,98.75,13.71,44.850002,9.73,0.323,0.594,10,2.5
CYP,34,44,Cyprus,20,100.0,76.02611963720175,14.51621,5.373922,57.7,7.38,1.64,12.557372,1.389,31523.498,5.942,81.648,100,35.6,70.4,8.45,32.72,1.6,0.85,0.16,91,2.5
