Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
NPL,111,140,Nepal,20,100.0,52.87781286769901,36.43171,0.6332349,49.3,4.6,0.33,4.50373,1.984,3013.5178,5.311,70.3537,68.7125,28.3,95.75,14.01,40.96,17.8,0.576,0.618,62,5.7
NLD,7,8,Netherlands,20,100.0,84.74805133643434,10.7416,6.29691,44,9,1.95,12.669947,1.43,49669.867,7.306,82.1576,100,21.3,99,6.69,28.54,3.37,0.88,0.018,97,2.5
NZL,2,2,New Zealand,20,100.0,86.81392048981998,8.60929,6.229343,53.2,9.61,1.55,12.882998,1.667,38250.12,6.952,82.088,100,12.2,99.833,12.219999,34.88,2.12,0.933,0.011,99,2.5
NIC,115,144,Nicaragua,19,95.0,51.00146749008984,16.00181,0.8140884,39.3,2.09,0.04,9.93302,2.218,5092.8413,6.33,74.9468,83,,82.625,17.87,51.81,3.5,0.211,0.941,14,19.6
NER,160,191,Niger,20,100.0,36.191470212815915,50.15037,0.11726506,42.2,2.26,0.02,1.4122894,6.061,1007.72095,4.725,61.1833,35.60971,7.7,83.357,13.860001,44.38,70.26,0.762,0.566,30,13.3
NGA,145,175,Nigeria,20,100.0,41.01056181765628,55.64206,0.5837386,36.4,4.16,0.03,7.58597,4.482,5070.4927,4.885,54.4623,63.15554,3.3,84.8,11.42,42.11,71.73,0.692,0.928,44,18
PRK,135,165,North Korea,16,80.0,43.49872982625232,41.46032,2.3604918,,1.08,0.55,,1.78,1568.847,,73.6418,,16.5,99.25,15.080001,42.879997,4.1,0.007,0.68,3,45.3
MKD,49,68,North Macedonia,19,95.0,70.01605046308943,25.16804,3.6311553,52.9,6.28,1.05,10.23,1.465,14050.995,5.503,77.3947,99,,94.444,7,29.339998,1.04,0.735,0.75,67,2.5
NOR,3,3,Norway,20,100.0,86.65913572944464,6.30111,6.667616,42.7,9.81,5.62,13.117962,1.405,88366.22,7.262,83.3078,100,14.2,99,9.660001,31.099998,3.61,0.888,0.011,99,2.5
OMN,78,105,Oman,20,100.0,61.455047434355905,34.88286,15.651107,35.1,3.05,0.27,11.89,2.525,47988.65,6.197,80.0305,97,8.4,88.833,19.75,55.92,1.6,0.448,0.256,24,5.7
PAK,159,190,Pakistan,20,100.0,36.25253846609498,50.13067,0.71556884,71.6,2.84,0.48,4.316987,3.605,5531.723,4.768,67.649,58.8561,18.9,86,17.51,43.89,38.8,0.467,0.817,32,20.7
PLW,39,52,Palau,12,60.0,74.51986640426442,7.82424,12.760258,63.1,,0,13.299035,1.907,,,69.269,97,17.3,,16.03,48.41,,,,92,
PSE,106,135,Palestine,12,60.0,54.286553464821054,30.8191,0.86981934,65.6,3.44,,10.13,3.311,4775.202,4.78,65.1703,98,,,17.99,50.75,,,,,
PAN,38,49,Panama,20,100.0,74.7939433143102,11.77915,2.8046095,59.6,6.84,0.16,10.833751,2.119,23557.02,6.407,79.5937,96,5.2,94.333,17.87,51.81,4.24,0.869,0.473,83,5.6
PNG,129,158,Papua New Guinea,18,90.0,46.32575249445652,8.88558,0.7890545,50.4,5.97,0.07,4.962531,3.099,,,66.134,70.06368,39.6,80.75,16.220001,45.84,24.88,0.602,0.722,61,27.7
PRY,68,92,Paraguay,20,100.0,64.95744917323606,12.30993,1.1454097,41.7,5.92,0.19,8.930654,2.422,8762.771,6.172,73.8443,95,10.7,80,17.87,51.81,4.65,0.609,0.801,63,4.5
PER,72,97,Peru,20,100.0,63.3277073101714,29.06587,2.0529242,32.1,5.69,0.05,10.154652,1.98,12762.967,5.947,77.7401,94,7.1,83.333,26.9,57.95,7.59,0.622,0.66,67,7
PHL,76,102,Philippines,20,100.0,62.58191449718347,22.45141,1.5096035,58.2,6.63,0.16,9.97724,1.916,8370.666,6.107,69.8327,98,20.4,94,16.94,45.120003,16.87,0.704,0.849,58,5.9
POL,33,40,Poland,20,100.0,76.58287430638994,18.82808,7.0801096,60,7.4,0.65,13.208543,1.299,32468.402,6.673,78.6329,100,23.6,99.833,15.469999,38.420002,5.4,0.868,0.097,82,2.5
PRT,28,31,Portugal,20,100.0,78.4545938806692,7.34244,3.4089074,90.9,8.08,0.64,9.703255,1.508,28992.059,6.013,82.3599,95,25.6,97.5,9.74,35.06,6.76,0.757,0.164,96,2.5
QAT,99,126,Qatar,19,95.0,57.06813545436813,59.03746,41.27118,40.6,3.17,0.26,10.77,1.729,149171.11,6.374,82.368,98,12.5,99.2,24.050001,56.29,0.42,0.181,0.371,25,
ROU,43,57,Romania,20,100.0,73.41813224981226,13.30043,3.605104,61.2,5.99,0.21,11.55,1.713,26197.904,6.563,75.9381,99,30,97.714,14.57,41.16,7.2,0.789,0.383,82,2.5
RUS,94,121,Russia,20,100.0,58.01027391965059,8.88468,12.294705,23.1,2.03,3.77,12.41,1.449,25437.107,5.945,73.1541,100,29.2,94.5,24.33,51.41,3.25,0.484,0.785,12,2.5
RWA,150,180,Rwanda,20,100.0,38.984343798872786,35.65776,0.14263947,73.2,3.34,0.87,4.88,3.698,2198.0662,3.268,67.7852,79,14.3,99.857,19.68,53.359997,25,0.311,0.416,21,31.4
KNA,45,63,Saint Kitts and Nevis,10,50.0,72.2371129117647,8.05126,5.542429,61.9,,0.19,10.8494005,1.505,,,72.1447,,,,21.199999,48.57,,,,89,
LCA,48,67,Saint Lucia,13,65.0,70.21461396964361,8.97661,2.9869597,77,,0.17,8.614167,1.379,10452.165,,72.6968,,13.8,,21.199999,48.57,5.81,,,91,
VCT,28,32,Saint Vincent and the Grenadines,13,65.0,78.34786265347222,9.41283,2.5405643,94,,0,11.29535,1.775,,,71.2301,96,,,21.199999,48.57,5.25,,,90,4.8
WSM,41,55,Samoa,14,70.0,73.70256520365497,7.77989,1.1263857,20.9,,0.12,11.332984,3.829,,,71.6982,97.99026,22.5,,16.03,48.41,8.18,,,84,5.4
SMR,9,11,San Marino,10,50.0,83.59479404573999,9.84868,,62.7,,0.09,11.36,1.149,,,85.7062,100,,,11.5,35.670002,,,,97,
STP,84,111,Sao Tome and Principe,18,90.0,59.97724237920015,33.74991,0.6019113,51.4,,0.13,5.9875593,3.644,3751.6428,,69.7182,87.43846,7.8,99.333,15.780001,49.99,16.65,0.868,0.275,84,16.4
SAU,93,120,Saudi Arabia,20,100.0,58.02936680658285,57.15638,20.379194,29.2,2.08,0.08,11.606428,2.28,53516.91,6.6,78.7321,98,14.9,88.333,24.89,54.7,1.93,0.201,0.326,9,3
SEN,121,150,Senegal,20,100.0,49.41182254518587,38.21284,0.76163954,122.9,5.93,0.03,2.934554,3.818,2660.6816,4.856,68.6829,50.35582,6.5,82.25,12.85,45.030003,31.75,0.782,0.301,69,4.6
SRB,54,75,Serbia,20,100.0,67.96744462799197,21.73909,6.237839,43.9,6.26,1.22,11.641718,1.5,17097.686,6.606,76.7693,99,39.5,94.875,13.04,36.829998,3.86,0.819,0.754,56,2.5
SYC,35,45,Seychelles,18,90.0,75.8874509749013,16.95663,5.002998,56.7,,0.58,11.19995,2.133,31055.39,,72.862,96,20.2,95.75,21.539999,52.19,8.35,0.932,0.046,80,2.5
SLE,149,179,Sierra Leone,20,100.0,40.05260488818897,39.4217,0.165966,41.2,4.32,0.03,3.5352976,3.791,1690.4982,2.998,61.7858,43.57778,12.9,96.6,14.78,46.239998,69.54,0.782,0.495,59,28.4
SGP,61,83,Singapore,19,95.0,67.16703812388698,13.33302,9.244836,175.6,6.18,0.62,11.99,0.943,80320.086,6.565,83.7362,98,16.4,99.167,13.62,45.170002,8.49,0.731,0.03,48,
SVK,29,34,Slovakia,19,95.0,77.90401097243057,15.89146,5.282773,59.6,7.21,0.32,13.103204,1.56,27519.287,6.221,78.3414,,32.4,99.833,9.95,28.64,3.62,0.918,0.276,89,3.6
SVN,13,16,Slovenia,20,100.0,82.59969532259464,14.07638,6.0184274,66.6,7.82,2.81,12.951202,1.576,32673.762,6.792,81.6034,100,20.1,99.571,7.8599997,29.44,1.9,0.923,0.061,96,2.5
SLB,114,143,Solomon Islands,17,85.0,51.76103347564134,7.8289,0.3596751,23.7,,0.12,5.87968,3.557,,,70.5277,77,36.9,93.6,16.03,48.41,32.68,0.7,0.604,75,19.4
SOM,170,201,Somalia,16,80.0,27.887401118724455,14.27733,0.06939735,,,0.54,1.9,6.132,,4.347,58.8158,54,,64,16.04,48.53,99.19,0.213,0.881,8,51.3
ZAF,96,123,South Africa,20,100.0,57.769408125159075,19.74802,6.8715796,77.3,7.16,2.03,11.61,2.216,11415.887,5.213,66.1387,90,20.7,96.429,19.220001,65.08,27.59,0.784,0.555,81,8.1
KOR,37,47,South Korea,20,100.0,75.21086440105996,24.03774,11.285893,53.4,7.75,0.13,12.7221985,0.72,41320.9,6.038,84.3288,100,20,98.875,16.150002,36.89,5.2,0.907,0.156,81,2.5
SSD,166,197,South Sudan,17,85.0,32.47415663208207,20.18219,0.14196548,66,,0.39,5.73,3.864,,2.8166,57.6174,35,,80.5,15.24,49.51,68.08,0.173,0.829,1,19.6
ESP,24,27,Spain,20,100.0,79.26305065858284,9.3416,4.599015,100.4,8.13,2.08,10.7561245,1.213,34123.387,6.466,83.6703,100,28.4,99.909,12.04,33.73,3.17,0.958,0.103,90,2.5
LKA,70,94,Sri Lanka,20,100.0,64.71903567857431,23.87759,0.90139973,100.8,6.19,0.57,10.77,1.974,10705.481,3.891,77.4828,92,19.5,99,21.39,49.34,4.83,0.727,0.462,58,4.1
SDN,164,195,Sudan,18,90.0,34.15498751984003,21.42613,0.35272878,221.5,1.46,1.04,3.962,4.323,,4.139,66.331,61,,57.6,15.11,44.32,15.78,0.103,0.804,2,11.4
SUR,53,74,Suriname,18,90.0,68.55481627463325,12.17056,4.7093143,89.1,6.79,0.48,8.42976,2.249,,6.269,73.631,95,,85.75,17.87,51.81,7.1,0.876,0.173,80,10.1
SWE,1,1,Sweden,20,100.0,87.01380649868025,5.95539,3.5916543,34.2,9.39,3.82,12.740326,1.43,47126.13,7.345,83.2624,100,22.7,99,10.83,30.59,3.04,0.937,0.01,99,2.5
CHE,4,4,Switzerland,20,100.0,86.53042655796602,8.96682,3.5946856,36.9,9.32,2.85,13.949121,1.433,63323.254,6.935,83.9536,100,25.5,100,10.08,30.24,2.53,0.959,0.022,96,2.5
SYR,146,176,Syria,18,90.0,40.944974063847376,25.14079,1.2879974,,1.32,0.71,5.93552,2.712,2494.7612,3.462,72.1201,94,,77,21.3,55.11,9.14,0.252,0.74,5,34
TJK,108,137,Tajikistan,19,95.0,53.88387667017317,53.64558,1.0140533,22,1.83,0.19,11.270948,3.072,5507.5454,5.411,71.7901,100,,98.25,14.55,41.690002,9,0.287,0.847,5,8.7
TZA,131,160,Tanzania,20,100.0,45.66172089256355,15.36389,0.29198244,49.6,5.2,0.73,6.06535,4.606,3057.3286,3.8,66.9953,78,9.3,93.5,17.9,50.68,30.21,0.754,0.253,35,23.8
THA,90,117,Thailand,20,100.0,58.9813691223402,24.63927,3.7361188,64.9,6.27,0.29,9.04,1.212,16421.072,6.222,76.4115,91.09987,19.2,94.4,19.74,52.100002,11.8,0.479,0.659,34,5.6
TGO,143,173,Togo,20,100.0,41.93706172163683,35.65757,0.28938687,71.9,2.99,0.03,5.8611145,4.192,1586.5889,4.315,62.7387,72.59589,6.4,88.571,13.879999,45.92,42.41,0.651,0.762,41,12.8
TON,45,62,Tonga,13,65.0,72.5470948410381,7.52079,1.464028,31.6,,0.12,10.914949,3.129,,,72.8947,91.05162,31.3,,16.03,48.41,7.1,,,80,
TTO,59,81,Trinidad and Tobago,19,95.0,67.63633482783882,10.26482,22.931944,65.3,7.09,0.48,10.79275,1.532,25773.006,5.905,73.4896,99,,92.5,17.87,51.81,1.61,0.796,0.089,82,12.6
TUN,79,106,Tunisia,20,100.0,61.33567685463686,26.52402,2.6605377,80.6,4.71,0.97,7.59492,1.832,10913.846,4.552,76.5077,86.24682,20.5,96.125,22.470001,52.530003,3.13,0.828,0.409,44,3.2
TUR,80,107,Turkey,20,100.0,61.07835711980334,23.25106,5.865009,24.3,4.26,0.34,8.986243,1.625,27361.988,5.262,77.1557,97,30.5,95.833,23.95,55.57,2.48,0.587,0.821,33,2.5
TKM,101,128,Turkmenistan,20,100.0,56.75664663640107,26.40925,10.808675,3.9,1.66,1.38,11.207802,2.69,17234.555,5.474,70.0727,100,5.6,98.143,19.71,48.629997,5.66,0.116,0.891,1,4.1
TUV,39,51,Tuvalu,11,55.00000000000001,74.66224248444443,6.80654,1.1831627,3.6,,0.18,10.767461,3.208,,,67.1049,,33.7,,16.03,48.41,,,,93,
UGA,147,177,Uganda,20,100.0,40.736777495982615,31.31261,0.12663798,52.4,4.49,0.45,6.323663,4.283,2122.0278,4.461,68.2523,69.10132,7.5,94.286,21.43,52.62,28.09,0.509,0.802,34,36.9
UKR,85,112,Ukraine,20,100.0,59.840841794010146,13.50727,3.7637882,108.6,4.9,1.73,11.122739,0.977,7749.0996,4.68,73.4225,100,24.9,73.167,9.38,32.170002,2.34,0.775,0.609,51,5.8
ARE,74,99,United Arab Emirates,20,100.0,63.086605582096276,41.7495,20.131075,34,3.07,0.51,12.99,1.2,77203.67,6.759,82.9091,98,9,96.5,15.940001,48.629997,0.85,0.317,0.105,18,2.7
GBR,19,22,United Kingdom,20,100.0,79.98997489542641,9.51575,4.5257993,103.4,8.34,8.37,13.49,1.56,38406.53,6.728,81.3015,100,14.2,98.143,13.59,36.559998,6.11,0.851,0.042,92,2.5
USA,40,53,United States,20,100.0,74.2599970779447,7.17987,14.197287,125,7.85,31.75,13.91,1.624,58487.465,6.724,79.3043,100,24.3,97.308,20.730001,46.76,2.26,0.891,0.051,84,2.5
URY,16,19,Uruguay,20,100.0,81.61883463254318,8.47571,2.35437,66.6,8.67,0.62,10.54,1.409,20181.94,6.661,78.1385,99,20.5,99.917,14.78,45.969997,4.44,0.887,0.053,96,2.5
UZB,89,116,Uzbekistan,20,100.0,59.131207650036124,40.97948,3.829127,31.1,2.1,0.35,11.91,3.5,12559.401,6.193,72.3884,100,16.7,98.25,17.53,45.59,2.9,0.435,0.831,12,2.5
VUT,71,95,Vanuatu,16,80.0,64.50830771494932,8.42148,0.6012429,48.6,,0.1,7.18321,3.596,,,71.4769,87.96032,,99.143,16.03,48.41,25.02,0.772,0.294,82,7.9
VEN,117,146,Venezuela,19,95.0,50.42017329035744,16.21392,4.085203,164.3,2.25,0.11,9.678386,2.079,5267.1753,5.683,72.5142,97,,87.5,17.87,51.81,5.17,0.538,0.97,13,17.6
VNM,86,113,Vietnam,20,100.0,59.760606344129975,20.8923,3.6730351,32,2.62,1.18,8.98,1.913,8050.359,6.352,74.5883,96,22.5,98.8,15.65,43.59,6.92,0.658,0.485,20,5.2
YEM,167,198,Yemen,20,100.0,30.609849462250843,41.60944,0.24944058,71.4,1.95,1.11,5.48415,4.59,1959.3195,3.561,69.2952,71,21.4,52.778,24.81,59.06,15.64,0.232,0.911,10,39.5
ZMB,133,162,Zambia,20,100.0,44.79907158531726,16.8967,0.5650162,114.9,5.73,0.76,7.3974085,4.101,3342.4214,3.912,66.3487,71.1323,14.6,96,17.880001,55.85,35.77,0.768,0.355,53,35.4
ZWE,138,168,Zimbabwe,20,100.0,43.20717083545819,13.07553,0.82366556,45,2.98,0.54,8.930847,3.724,1703.5294,3.396,62.7748,93.22755,11.3,99.286,17.29,51.95,36.2,0.64,0.818,26,38.1
GRL,71,96,Greenland,5,25.0,63.35010799033816,,11.079819,,,,,1.95,,,70.055,,,,16.03,48.41,,,,,
OWID_KOS,52,73,Kosovo,11,55.00000000000001,68.80556043284798,,4.777991,17.6,,,,1.545,,6.659,78.0326,,,88,8.85,32.7,,0.596,0.273,60,
LIE,6,7,Liechtenstein,9,45.0,85.98831969653496,,3.2992606,0.5,,,12.40996,1.537,,,83.6298,100,,,11.5,35.670002,,,,90,
NCL,77,104,New Caledonia,6,30.0,61.99293041894352,,18.0644,,,,,1.98,,,78.7658,,,,16.03,48.41,,,,,5.6
TWN,33,42,Taiwan,14,70.0,76.45886515128612,,11.301164,23.4,8.78,,,0.87,53142.984,6.669,80.5588,,,98.75,21.279999,49.53,,0.926,0.23,94,3.7
0,101,129,Aruba,1,5.0,56.45,,,67.1,,,,,,,,,,,,,,,,,
PRI,45,61,Puerto Rico,8,40.0,73.02099146517858,,,18,,,,0.941,35280.668,7.039,81.6902,92,,,21.199999,48.57,,,,,
GUF,50,70,French Guiana,2,10.0,69.513575,,,,,,,3.388,,,76.9781,,,,,,,,,,
ESH,133,163,Western Sahara,3,15.0,44.35270833333333,,,,,,,2.164,,,71.385,,,,,,,,,4,
