Entity,Code,Year,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections (deaths per 100,000 population) - SH_STA_WASHARI",time
Sweden,SWE,2019,3.04,2019
Switzerland,CHE,2019,2.53,2019
Syria,SYR,2019,9.14,2019
Tajikistan,TJK,2019,9,2019
Tanzania,TZA,2019,30.21,2019
Thailand,THA,2019,11.8,2019
Togo,TGO,2019,42.41,2019
Tonga,TON,2019,7.1,2019
Trinidad and Tobago,TTO,2019,1.61,2019
Tunisia,TUN,2019,3.13,2019
Turkey,TUR,2019,2.48,2019
Turkmenistan,TKM,2019,5.66,2019
Uganda,UGA,2019,28.09,2019
Ukraine,UKR,2019,2.34,2019
United Arab Emirates,ARE,2019,0.85,2019
United Kingdom,GBR,2019,6.11,2019
United States,USA,2019,2.26,2019
Uruguay,URY,2019,4.44,2019
Uzbekistan,UZB,2019,2.9,2019
Vanuatu,VUT,2019,25.02,2019
Venezuela,VEN,2019,5.17,2019
Vietnam,VNM,2019,6.92,2019
Yemen,YEM,2019,15.64,2019
Zambia,ZMB,2019,35.77,2019
Zimbabwe,ZWE,2019,36.2,2019
